current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
11184,3956,2,7228
11184,3952,2,7232
11184,3948,2,7236
11184,3944,2,7240
11184,3940,2,7244
11184,3936,2,7248
11184,3932,2,7252
11184,3928,2,7256
11184,3924,2,7260
11184,3920,2,7264
11184,3916,2,7268
11184,3912,2,7272
11184,3908,2,7276
11184,3904,2,7280
11184,3900,2,7284
11184,3896,2,7288
11184,3892,2,7292
11184,3888,2,7296
11184,3880,2,7304
11184,3876,2,7308
11184,3872,2,7312
11184,3868,2,7316
11184,3864,2,7320
11184,3860,2,7324
11184,3856,2,7328
11184,3852,2,7332
11184,3848,2,7336
11184,3840,2,7344
11184,3836,2,7348
11184,3832,2,7352
11184,3828,2,7356
11184,3824,2,7360
11184,3820,2,7364
11184,3816,2,7368
11184,3812,2,7372
11184,3808,2,7376
11184,3804,2,7380
11184,3800,2,7384
11184,3792,2,7392
